17,1666506197.118696__file_17.ogg,1666506197.118696__file_17.mp3,2022-10-23 06:23:16.966863+00,OGG,MP3,PROCESSED,1,2022-10-23 06:24:19.435604+00
18,1666506197.334416__file_18.ogg,1666506197.334416__file_18.mp3,2022-10-23 06:23:17.123522+00,OGG,MP3,PROCESSED,1,2022-10-23 06:24:24.321434+00
19,1666506197.516895__file_19.ogg,1666506197.516895__file_19.wav,2022-10-23 06:23:17.361397+00,OGG,WAV,PROCESSED,1,2022-10-23 06:24:25.304712+00
20,1666506197.765568__file_20.ogg,1666506197.765568__file_20.aac,2022-10-23 06:23:17.537633+00,OGG,AAC,PROCESSED,1,2022-10-23 06:24:29.010757+00
21,1666506198.054109__file_21.ogg,1666506198.054109__file_21.wma,2022-10-23 06:23:17.773857+00,OGG,WMA,PROCESSED,1,2022-10-23 06:24:31.854185+00
22,1666506199.037333__file_22.wav,1666506199.037333__file_22.aac,2022-10-23 06:23:18.067434+00,WAV,AAC,PROCESSED,1,2022-10-23 06:24:34.97825+00
23,1666506200.364875__file_23.wav,1666506200.364875__file_23.mp3,2022-10-23 06:23:19.059398+00,WAV,MP3,PROCESSED,1,2022-10-23 06:24:40.586328+00
24,1666506201.327232__file_24.wav,1666506201.327232__file_24.ogg,2022-10-23 06:23:20.373494+00,WAV,OGG,PROCESSED,1,2022-10-23 06:24:44.408972+00
25,1666506202.528832__file_25.wav,1666506202.528832__file_25.wma,2022-10-23 06:23:21.333808+00,WAV,WMA,PROCESSED,1,2022-10-23 06:24:45.733225+00
31,1666506203.952122__file_1.mp3,1666506203.952122__file_1.aac,2022-10-23 06:23:23.730598+00,MP3,AAC,PROCESSED,1,2022-10-23 06:24:50.034953+00
32,1666506204.210088__file_2.mp3,1666506204.210088__file_2.aac,2022-10-23 06:23:23.96364+00,MP3,AAC,PROCESSED,1,2022-10-23 06:24:53.997043+00
33,1666506204.458657__file_3.mp3,1666506204.458657__file_3.aac,2022-10-23 06:23:24.214327+00,MP3,AAC,PROCESSED,1,2022-10-23 06:24:57.5609+00
34,1666506204.634041__file_4.mp3,1666506204.634041__file_4.ogg,2022-10-23 06:23:24.466513+00,MP3,OGG,PROCESSED,1,2022-10-23 06:25:01.248673+00
35,1666506204.862177__file_5.mp3,1666506204.862177__file_5.ogg,2022-10-23 06:23:24.639128+00,MP3,OGG,PROCESSED,1,2022-10-23 06:25:05.822587+00
36,1666506205.04473__file_6.mp3,1666506205.04473__file_6.wav,2022-10-23 06:23:24.875959+00,MP3,WAV,PROCESSED,1,2022-10-23 06:25:06.37561+00
37,1666506205.279372__file_7.mp3,1666506205.279372__file_7.wav,2022-10-23 06:23:25.056448+00,MP3,WAV,PROCESSED,1,2022-10-23 06:25:07.163629+00
38,1666506205.474089__file_8.mp3,1666506205.474089__file_8.wma,2022-10-23 06:23:25.29226+00,MP3,WMA,PROCESSED,1,2022-10-23 06:25:08.539015+00
39,1666506205.783498__file_9.mp3,1666506205.783498__file_9.wma,2022-10-23 06:23:25.501701+00,MP3,WMA,PROCESSED,1,2022-10-23 06:25:11.133769+00
40,1666506205.948814__file_10.aac,1666506205.948814__file_10.mp3,2022-10-23 06:23:25.807151+00,AAC,MP3,PROCESSED,1,2022-10-23 06:25:17.535801+00
41,1666506206.259209__file_11.aac,1666506206.259209__file_11.mp3,2022-10-23 06:23:25.953685+00,AAC,MP3,PROCESSED,1,2022-10-23 06:25:24.053594+00
42,1666506206.47156__file_12.aac,1666506206.47156__file_12.mp3,2022-10-23 06:23:26.271627+00,AAC,MP3,PROCESSED,1,2022-10-23 06:25:28.234757+00
43,1666506206.738259__file_13.aac,1666506206.738259__file_13.ogg,2022-10-23 06:23:26.485196+00,AAC,OGG,PROCESSED,1,2022-10-23 06:25:32.923553+00
44,1666506206.927486__file_14.aac,1666506206.927486__file_14.ogg,2022-10-23 06:23:26.750957+00,AAC,OGG,PROCESSED,1,2022-10-23 06:25:36.651335+00
45,1666506207.30482__file_15.aac,1666506207.30482__file_15.wav,2022-10-23 06:23:26.96617+00,AAC,WAV,PROCESSED,1,2022-10-23 06:25:37.275003+00
46,1666506207.545517__file_16.aac,1666506207.545517__file_16.wma,2022-10-23 06:23:27.321032+00,AAC,WMA,PROCESSED,1,2022-10-23 06:25:38.634926+00
47,1666506207.73393__file_17.ogg,1666506207.73393__file_17.mp3,2022-10-23 06:23:27.550347+00,OGG,MP3,PROCESSED,1,2022-10-23 06:25:44.398848+00
48,1666506207.944507__file_18.ogg,1666506207.944507__file_18.mp3,2022-10-23 06:23:27.744201+00,OGG,MP3,PROCESSED,1,2022-10-23 06:25:49.207686+00
49,1666506208.158613__file_19.ogg,1666506208.158613__file_19.wav,2022-10-23 06:23:27.966004+00,OGG,WAV,PROCESSED,1,2022-10-23 06:25:50.183231+00
50,1666506208.429838__file_20.ogg,1666506208.429838__file_20.aac,2022-10-23 06:23:28.181619+00,OGG,AAC,PROCESSED,1,2022-10-23 06:25:53.747873+00
53,1666506678.607741__file_3.mp3,1666506678.607741__file_3.aac,2022-10-23 06:31:18.377028+00,MP3,AAC,PROCESSED,1,2022-10-23 06:31:37.186715+00
54,1666506678.825216__file_4.mp3,1666506678.825216__file_4.ogg,2022-10-23 06:31:18.622022+00,MP3,OGG,PROCESSED,1,2022-10-23 06:31:40.811209+00
55,1666506679.048705__file_5.mp3,1666506679.048705__file_5.ogg,2022-10-23 06:31:18.831227+00,MP3,OGG,PROCESSED,1,2022-10-23 06:31:45.680786+00
56,1666506679.272589__file_6.mp3,1666506679.272589__file_6.wav,2022-10-23 06:31:19.056123+00,MP3,WAV,PROCESSED,1,2022-10-23 06:31:46.261544+00
58,1666506679.709501__file_8.mp3,1666506679.709501__file_8.wma,2022-10-23 06:31:19.529988+00,MP3,WMA,PROCESSED,1,2022-10-23 06:31:48.501863+00
59,1666506680.305054__file_9.mp3,1666506680.305054__file_9.wma,2022-10-23 06:31:19.973526+00,MP3,WMA,PROCESSED,1,2022-10-23 06:31:51.077584+00
60,1666506680.467136__file_10.aac,1666506680.467136__file_10.mp3,2022-10-23 06:31:20.314629+00,AAC,MP3,PROCESSED,1,2022-10-23 06:31:57.705206+00
62,1666506680.925639__file_12.aac,1666506680.925639__file_12.mp3,2022-10-23 06:31:20.742282+00,AAC,MP3,PROCESSED,1,2022-10-23 06:32:09.268595+00
63,1666506681.209651__file_13.aac,1666506681.209651__file_13.ogg,2022-10-23 06:31:20.948833+00,AAC,OGG,PROCESSED,1,2022-10-23 06:32:14.593564+00
65,1666506681.679885__file_15.aac,1666506681.679885__file_15.wav,2022-10-23 06:31:21.450461+00,AAC,WAV,PROCESSED,1,2022-10-23 06:32:20.039415+00
66,1666506681.877084__file_16.aac,1666506681.877084__file_16.wma,2022-10-23 06:31:21.688529+00,AAC,WMA,PROCESSED,1,2022-10-23 06:32:21.466211+00
67,1666506682.047158__file_17.ogg,1666506682.047158__file_17.mp3,2022-10-23 06:31:21.891359+00,OGG,MP3,PROCESSED,1,2022-10-23 06:32:27.198327+00
51,1666506678.067867__file_1.mp3,1666506678.067867__file_1.aac,2022-10-23 06:31:18.070247+00,MP3,AAC,PROCESSED,1,2022-10-23 06:31:25.63316+00
76,1666506687.138132__file_26.wma,,2022-10-23 06:31:26.859775+00,WMA,MP3,UPLOADED,1,
77,1666506687.365954__file_27.wma,,2022-10-23 06:31:27.159933+00,WMA,MP3,UPLOADED,1,
78,1666506687.716643__file_28.wma,,2022-10-23 06:31:27.520327+00,WMA,AAC,UPLOADED,1,
79,1666506687.990378__file_29.wma,,2022-10-23 06:31:27.730564+00,WMA,OGG,UPLOADED,1,
80,1666506688.159366__file_30.wma,,2022-10-23 06:31:27.998726+00,WMA,WAV,UPLOADED,1,
52,1666506678.366048__file_2.mp3,1666506678.366048__file_2.aac,2022-10-23 06:31:18.082994+00,MP3,AAC,PROCESSED,1,2022-10-23 06:31:33.350304+00
57,1666506679.522733__file_7.mp3,1666506679.522733__file_7.wav,2022-10-23 06:31:19.281276+00,MP3,WAV,PROCESSED,1,2022-10-23 06:31:47.063175+00
